title,type,year,language,featured,published
Inside Out 2,movie,2024,en,1,1
Deadpool & Wolverine,movie,2024,en,1,1
Despicable Me 4,movie,2024,en,0,1
Moana 2,movie,2024,en,1,1
Wicked,movie,2024,en,1,1
Dune Part Two,movie,2024,en,1,1
Godzilla x Kong The New Empire,movie,2024,en,0,1
Kung Fu Panda 4,movie,2024,en,0,1
Venom The Last Dance,movie,2024,en,0,1
Mufasa The Lion King,movie,2024,en,1,1
A Quiet Place Day One,movie,2024,en,0,1
Beetlejuice Beetlejuice,movie,2024,en,0,1
Twisters,movie,2024,en,0,1
It Ends with Us,movie,2024,en,0,1
Gladiator II,movie,2024,en,1,1
Alien Romulus,movie,2024,en,0,1
The Wild Robot,movie,2024,en,1,1
Bad Boys Ride or Die,movie,2024,en,0,1
Kingdom of the Planet of the Apes,movie,2024,en,0,1
Furiosa A Mad Max Saga,movie,2024,en,0,1
Smile 2,movie,2024,en,0,1
The Fall Guy,movie,2024,en,0,1
The Substance,movie,2024,en,0,1
Nosferatu,movie,2024,en,0,1
Anora,movie,2024,en,0,1
Challengers,movie,2024,en,0,1
Civil War,movie,2024,en,0,1
Trap,movie,2024,en,0,1
Monkey Man,movie,2024,en,0,1
The Bikeriders,movie,2024,en,0,1
Ne Zha 2,movie,2025,zh,1,1
Superman,movie,2025,en,1,1
Jurassic World Rebirth,movie,2025,en,1,1
F1 The Movie,movie,2025,en,1,1
A Minecraft Movie,movie,2025,en,1,1
Lilo & Stitch,movie,2025,en,1,1
Mission Impossible The Final Reckoning,movie,2025,en,1,1
Thunderbolts,movie,2025,en,1,1
The Fantastic Four First Steps,movie,2025,en,1,1
How to Train Your Dragon,movie,2025,en,1,1
Captain America Brave New World,movie,2025,en,0,1
Ballerina,movie,2025,en,0,1
Karate Kid Legends,movie,2025,en,0,1
Sinners,movie,2025,en,1,1
Weapons,movie,2025,en,1,1
Materialists,movie,2025,en,0,1
Happy Gilmore 2,movie,2025,en,0,1
Until Dawn,movie,2025,en,0,1
Final Destination Bloodlines,movie,2025,en,0,1
Elio,movie,2025,en,0,1
The Smurfs,movie,2025,en,0,1
The Conjuring Last Rites,movie,2025,en,0,1
Demon Slayer Infinity Castle,movie,2025,ja,1,1
Zootopia 2,movie,2025,en,1,1
Wicked For Good,movie,2025,en,1,1
One Battle After Another,movie,2025,en,0,1
Black Phone 2,movie,2025,en,0,1
The Running Man,movie,2025,en,0,1
Mickey 17,movie,2025,en,0,1
Dog Man,movie,2025,en,0,1
Flow,movie,2024,lv,0,1
The Lord of the Rings The War of the Rohirrim,movie,2024,en,0,1
The Crow,movie,2024,en,0,1
The Garfield Movie,movie,2024,en,0,1
The Amateur,movie,2025,en,0,1
الفيل الأزرق 2,movie,2024,ar,1,1
ولاد رزق 3 القاضية,movie,2024,ar,1,1
اللعب مع العيال,movie,2024,ar,1,1
عصابة الماكس,movie,2024,ar,0,1
شقو,movie,2024,ar,1,1
فاصل من اللحظات اللذيذة,movie,2024,ar,1,1
الحريفة 2,movie,2024,ar,1,1
رحلة 404,movie,2024,ar,1,1
الهوى سلطان,movie,2024,ar,1,1
الفستان الأبيض,movie,2024,ar,0,1
أهل الكهف,movie,2024,ar,0,1
السرب,movie,2024,ar,0,1
أسود ملون,movie,2024,ar,0,1
مقسوم,movie,2024,ar,0,1
الإسكندراني,movie,2024,ar,0,1
ليه تعيشها لوحدك,movie,2024,ar,0,1
بضع ساعات في يوم ما,movie,2024,ar,0,1
مين يصدق,movie,2024,ar,0,1
وداعا حمدي,movie,2024,ar,0,1
نورة,movie,2024,ar,0,1
إن شاء الله ولد,movie,2024,ar,0,1
عالسريع,movie,2024,ar,0,1
شرق 12,movie,2024,ar,0,1
بحر الماس,movie,2024,ar,0,1
Happy Birthday,movie,2025,ar,1,1
سيكو سيكو,movie,2025,ar,1,1
ريستارت,movie,2025,ar,1,1
المشروع X,movie,2025,ar,1,1
أحمد وأحمد,movie,2025,ar,1,1
روكي الغلابة,movie,2025,ar,1,1
الصفا الثانوية بنات,movie,2025,ar,0,1
أسد,movie,2025,ar,1,1
فيها إيه يعني,movie,2025,ar,0,1
Eagles of the Republic,movie,2025,ar,0,1
The Stories,movie,2025,ar,0,1
